??? ??????,?????,?????,????? ??????,Email,??? ????,??????,???????,????? ???????,????????,??? ????? ???????,??? ???????,???????,?????? ??????? ???????,???????,???? ?????,Major Dep.,Status,Minor Dep.,??? ??????,???????,??????? ????????
??? ???? ????? ???? ?????????,????,????,161011,s.hossameldeen_fci16@suezuni.edu.eg,98765432136261,Dr.Hussein Mohammed Sharaf,????,06-Jul-98,1111121,??????,??????,????,???????? ?????? -2016,Address133,?????,????????? ?????????,????,,,-------------------,??? ?????
????????? ???? ???? ????,???,????,161012,a.mohamed_fci163@suezuni.edu.eg,98765432136262,Dr.Wael Mohammed Fawaz,????,07-Jul-98,1111122,??????,??????,????,???????? ?????? -2016,Address134,???,???? ??????,????,,,??? ???? ??????? ???????,????
??? ???? ??? ??? ??????,???,????,161014,a.hossam_fci16@suezuni.edu.eg,98765432136263,Dr. Mohamed  Ali Atia,????,08-Jul-98,1111123,??????,??????,????,???????? ?????? -2016,Address135,?????,????????? ?????????,????,,,??? ???? ??????? ???????,????
???? ???? ????? ????,????,????,161015,s.wael_fci16@suezuni.edu.eg,98765432136264,Dr. Mohamed  Ali Atia,????,09-Jul-98,1111124,??????,??????,????,???????? ?????? -2016,Address136,?????,????????? ?????????,????,,,-------------------,??? ?????
???? ????? ???? ????,????,????,161016,d.mamdouh_fci16@suezuni.edu.eg,98765432136265,Dr. Mohamed  Ali Atia,????,10-Jul-98,1111125,??????,??????,????,???????? ?????? -2016,Address137,?????,???? ??????,????,,,-------------------,??? ?????
??????? ????? ??????? ????????,???,????,161017,i.metawea_fci16@suezuni.edu.eg,98765432136266,Dr. Mohamed  Ali Atia,????,11-Jul-98,1111126,??????,??????,????,???????? ?????? -2016,Address138,?????,???? ??????,????,,,??? ???? ??????? ???????,????
????????? ????? ???? ????,???,????,161018,a.mostafa_fci16@suezuni.edu.eg,98765432136267,Dr. Mohamed  Ali Atia,????,12-Jul-98,1111127,??????,????????,????,???????? ?????? -2016,Address139,?????,???? ??????,????,,,??? ???? ??????? ???????,????
???? ??????? ???? ???? ??????? ,???,????,161020,m.elzanati_fci16@suezuni.edu.eg,98765432136268,Dr.Wael Mohammed Fawaz,????,13-Jul-98,1111128,??????????,??????????,????,???????? ?????? -2016,Address140,?????,???? ??????,????,,,???? ??? 28,?? ????
???? ???? ?????? ??????? ????,???,????,161021,w.ahmed_fci16@suezuni.edu.eg,98765432136269,Dr.Wael Mohammed Fawaz,????,14-Jul-98,1111129,?????,?????,????,???????? ?????? -2016,Address141,?????,???? ??????,????,,,??? ???? ??????? ???????,????
???? ??? ????????? ???????,???,????,161022,h.ali_fci161@suezuni.edu.eg,98765432136270,Dr.Wael Mohammed Fawaz,????,15-Jul-98,1111130,??????,??????,????,???????? ?????? -2016,Address142,?????,????????? ?????????,????,,,???? ??? 28,?? ????
????? ???? ???? ????,????,????,161023,a.naser_fci161@suezuni.edu.eg,98765432136271,Dr.Wael Mohammed Fawaz,????,16-Jul-98,1111131,??????,??????,????,???????? ?????? -2016,Address143,?????,????????? ?????????,????,,,-------------------,??? ?????
???? ???? ??? ???,????,????,161024,a.youssif_fci16@suezuni.edu.eg,98765432136272,Dr.Wael Mohammed Fawaz,????,17-Jul-98,1111132,,??????,????,???????? ?????? -2016,Address144,?????,????????? ?????????,????,,,-------------------,??? ?????
????????? ???? ????? ????,???,????,161025,a.ghareb_fci16@suezuni.edu.eg,98765432136273,Dr.Wael Mohammed Fawaz,????,18-Jul-98,1111133,??????,??????,????,???????? ?????? -2016,Address145,?????,???? ??????,????,,,???? ??? 28,?? ????
???? ??? ????? ???????,????,????,161026,d.ragab_fci16@suezuni.edu.eg,98765432136274,Dr.Hussein Mohammed Sharaf,????,19-Jul-98,1111134,??????,??????,????,???????? ?????? -2016,Address146,?????,???? ??????,????,,,-------------------,??? ?????
????? ??? ???? ????,???,????,161028,i.gad_fci16@suezuni.edu.eg,98765432136275,Dr.Hussein Mohammed Sharaf,????,20-Jul-98,1111135,??????,???????,????,???????? ?????? -2016,Address147,?????,???? ??????,????,,,??? ???? ??????? ???????,????
????? ???? ??? ?????,???,????,161081,i.mohamed_fci16@suezuni.edu.eg,98765432136276,Dr.Hussein Mohammed Sharaf,????,21-Jul-98,1111136,??????,??????,????,???????? ?????? -2016,Address148,?????,???? ??????,????,,,??? ???? ??????? ???????,????
???? ???? ????? ????,???,????,161031,a.hamdy.fci_16@suezuni.edu.eg,98765432136277,Dr.Hussein Mohammed Sharaf,????,22-Jul-98,1111137,??????,???,????,???????? ?????? -2016,Address149,?????,????????? ?????????,????,,,??? ???? ??????? ???????,????
??? ???? ???? ????,???,????,161032,o.hamdy_fci16@suezuni.edu.eg,98765432136278,Dr.Hussein Mohammed Sharaf,????,23-Jul-98,1111138,????? ??????,??????,????,???????? ?????? -2016,Address150,?????,????????? ?????????,????,,,??? ???? ??????? ???????,????
???? ???? ?? ??? ????? ????,????,????,161033,l.fatouh_fci16@suezuni.edu.eg,98765432136279,Dr. Fayza Ahmed Elsayed,????,24-Jul-98,1111139,??????,??????,????,???????? ?????? -2016,Address151,?????,???? ??????,????,,,-------------------,??? ?????
???? ???? ????????? ?????,???,????,161034,h.ahmed_fci16@suezuni.edu.eg,98765432136280,Dr. Fayza Ahmed Elsayed,????,25-Jul-98,1111140,??????,??????,????,???????? ?????? -2016,Address152,?????,????????? ?????????,????,,,??? ???? ??????? ???????,????
??? ???? ??????? ????,????,????,161035,n.mohamed_fci161@suezuni.edu.eg,98765432136281,Dr. Fayza Ahmed Elsayed,????,26-Jul-98,1111141,,??????,????,???????? ?????? -2016,Address153,?????,????????? ?????????,????,,,-------------------,??? ?????
???? ???? ??????? ????? ????,???,????,161036,m.fathy_fci161@suezuni.edu.eg,98765432136282,Dr. Fayza Ahmed Elsayed,????,27-Jul-98,1111142,????? ??????,????? ??????,????,???????? ?????? -2016,Address154,?????,????????? ?????????,????,,,??? ???? ??????? ???????,????
????????? ??????? ????? ??????,???,???????,161037,a.elrahman_fci16@suezuni.edu.eg,98765432136283,Dr. Fayza Ahmed Elsayed,????,28-Jul-98,1111143,????????,????????,????,???????? ?????? -2016,Address155,?????,???? ??????,????,???? ??????,,??? ???? ??????? ???????,????
????? ??? ???? ???,???,????,161039,m.sayed_fci16@suezuni.edu.eg,98765432136284,Dr. Fayza Ahmed Elsayed,????,29-Jul-98,1111144,??????,??????,????,???????? ?????? -2016,Address156,?????,???? ??????,????,,,??? ???? ??????? ???????,????
???? ???? ????????? ???,???,????,161040,a.mohamed_fci16@suezuni.edu.eg,98765432136285,Dr. Samah Ahmed Zaki,????,30-Jul-98,1111145,????? ??????,????? ??????,????,???????? ?????? -2016,Address157,?????,???? ??????,????,,,???? ??? 28,?? ????
???? ???? ???? ????,????,????,161041,a.ghareb_fci161@suezuni.edu.eg,98765432136286,Dr. Samah Ahmed Zaki,????,31-Jul-98,1111146,??????,??????,????,???????? ?????? -2016,Address158,?????,????????? ?????????,????,,,-------------------,??? ?????
????? ???? ???? ???? ??? ?????,????,????,161042,e.mohamed_fci16@suezuni.edu.eg,98765432136287,Dr. Samah Ahmed Zaki,????,01-Aug-98,1111147,??????,??????,????,???????? ?????? -2016,Address159,?????,????????? ?????????,????,,,-------------------,??? ?????
??? ???? ???? ??? ????,????,????,161043,m.mohamed_fci16@suezuni.edu.eg,98765432136288,Dr. Samah Ahmed Zaki,????,02-Aug-98,1111148,??????,??????,????,???????? ?????? -2016,Address160,?????,????????? ?????????,????,,,-------------------,??? ?????
????? ???? ????? ???,???,???????,161044,m.ahmed_fci16@suezuni.edu.eg,98765432136289,Dr. Samah Ahmed Zaki,????,03-Aug-98,1111149,????????,????????,????,???????? ?????? -2016,Address161,???,???? ??????,????,???? ??????,,??? ???? ??????? ???????,????
???? ????????? ??? ???,????,????,161045,s.abdelnaser_fci16@suezuni.edu.eg,98765432136290,Dr. Samah Ahmed Zaki,????,04-Aug-98,1111150,??????,??????,????,???????? ?????? -2016,Address162,?????,???? ??????,????,,,-------------------,??? ?????
???? ???? ???? ????,????,????,161047,n.mohamed_fci16@suezuni.edu.eg,98765432136291,Dr.Haitham Farook Abd Elfattah,????,05-Aug-98,1111151,??????,??????,????,???????? ?????? -2016,Address163,?????,???? ??????,????,,,-------------------,??? ?????
???? ???? ????? ???? ?????,???,????,161049,a.mohamed_fci161@suezuni.edu.eg,98765432136292,Dr.Haitham Farook Abd Elfattah,????,06-Aug-98,1111152,????????,????????,????,???????? ?????? -2016,Address164,???,???? ??????,????,,,??? ???? ??????? ???????,????
??? ???? ???? ?????,????,????,161052,A.fouad_fci16@suezuni.edu.eg,98765432136293,Dr.Haitham Farook Abd Elfattah,????,07-Aug-98,1111153,??????,??????,????,????????? ?? ????????? ??????? (??????)- ???? ??????? - ????? ??????,Address165,?????,???? ??????,????,,,-------------------,??? ?????
????? ???? ???? ????,????,???????,171001,ehsan.Mohammedfci2017@suezuni.edu.eg,98765432136294,Dr.Yasser Fouaad Ramadan,????,08-Aug-98,1111154,??????,??????,????,???????? ??????-2017,Address166,?????,???? ??????,????,???? ??????,,-------------------,??? ?????
???? ???? ???? ???? ????,???,???????,171002,Ahmed.Khamisfci2017@suezuni.edu.eg,98765432136295,Dr.Yasser Fouaad Ramadan,????,09-Aug-98,1111155,??????,??????????,????,???????? ?????? -2017,Address167,?????,????????? ?????????,????,????????? ?????????,,??? ???? ??????? ???????,????
??? ????? ????? ?????,????,???????,171004,Amal.Ehabfci2017@suezuni.edu.eg,98765432136296,Dr.Yasser Fouaad Ramadan,????,10-Aug-98,1111156,??????,??????,????,???????? ?????? -2017,Address168,?????,???? ??????,????,???? ??????,,-------------------,??? ?????
???? ??? ????????? ????,???,???????,171005,Ayman.Nasrfci2017@suezuni.edu.eg,98765432136297,Dr.Yasser Fouaad Ramadan,????,11-Aug-98,1111157,??????,??????,????,???????? ?????? -2017,Address169,?????,???? ??????,????,???? ??????,,-------------------,??? ?????
??? ???? ???? ????,????,???????,171006,Aya.Hamidfci2017@suezuni.edu.eg,98765432136298,Dr. Mohamed  Ali Atia,????,12-Aug-98,1111158,??????,??????,????,???????? ?????? -2017,Address170,?????,???? ??????,????,???? ??????,,-------------------,??? ?????
????????? ???? ??? ????,???,???????,171007,AbdulRahman.rubyfci2017@suezuni.edu.eg,98765432136299,Dr. Mohamed  Ali Atia,????,13-Aug-98,1111159,??????,??????,????,???????? ?????? -2017,Address171,?????,????????? ?????????,????,????????? ?????????,,??? ???? ??????? ???????,????
???? ???? ????? ????? ?????,???,???????,171009,Mohamed.Hatemfci2017@suezuni.edu.eg,98765432136300,Dr. Mohamed  Ali Atia,????,14-Aug-98,1111160,??????,??????,????,???????? ?????? -2017,Address172,?????,????????? ?????????,????,????????? ?????????,,??? ???? ??????? ???????,????
???? ???? ???? ???,???,???????,171010,Mohamed.Adelfci2017@suezuni.edu.eg,98765432136301,Dr. Mohamed  Ali Atia,????,15-Aug-98,1111161,??????,??????,????,???????? ?????? -2017,Address173,?????,????????_???,????,,,??? ???? ??????? ???????,????
???? ???? ???? ???,???,???????,171011,Yousuf.Samifci2017@suezuni.edu.eg,98765432136302,Dr.Wael Mohammed Fawaz,????,16-Aug-98,1111162,??????,??????,????,???????? ?????? -2017,Address174,?????,???? ??????,????,???? ??????,,??? ???? ??????? ???????,????
?????? ???? ????????? ?????,????,???????,171012,Yasmin.Adelfci2017@suezuni.edu.eg,98765432136303,Dr.Wael Mohammed Fawaz,????,17-Aug-98,1111163,??????,??????,????,???????? ?????? -2017,Address175,?????,????????? ?????????,????,????????? ?????????,,??? ???? ??????? ???????,????
???? ???? ???????? ???,???,???????,171013,Mohamed.Ahmedfci2017@suezuni.edu.eg,98765432136304,Dr.Wael Mohammed Fawaz,????,18-Aug-98,1111164,??????,??????,????,???????? ?????? -2017,Address176,?????,????????_???,????,,,??? ???? ??????? ???????,????
????? ????? ?????? ?????,????,???????,171014,Israa.Mahmoudfci2017@suezuni.edu.eg,98765432136305,Dr.Wael Mohammed Fawaz,????,19-Aug-98,1111165,??????,??????,????,???????? ?????? -2017,Address177,?????,????????? ?????????,????,????????? ?????????,,-------------------,??? ?????
????????? ???? ???? ???? ????,???,???????,171015,Abdulrahman.Mohammedfci2017@suezuni.edu.eg,98765432136306,Dr.Wael Mohammed Fawaz,????,20-Aug-98,1111166,??????,??????,????,???????? ?????? -2017,Address178,?????,????????_???,????,,,-------------------,??? ?????
???? ????? ?????????? ?????????,????,???????,171016,Manal.Mahmoudfci2017@suezuni.edu.eg,98765432136307,Dr.Hussein Mohammed Sharaf,????,21-Aug-98,1111167,??????,??????,????,???????? ?????? -2017,Address179,?????,????????? ?????????,????,????????? ?????????,,-------------------,??? ?????
???? ??? ????? ???? ???????,???,???????,171017,Mohamed.Abolhassanfci2017@suezuni.edu.eg,98765432136308,Dr.Hussein Mohammed Sharaf,????,22-Aug-98,1111168,??????,??????,????,???????? ?????? -2017,Address180,?????,????????? ?????????,????,????????? ?????????,,-------------------,??? ?????
??? ???? ??? ?????????,???,???????,171018,Ali.shemifci2017@suezuni.edu.eg,98765432136309,Dr.Hussein Mohammed Sharaf,????,23-Aug-98,1111169,??????,??????,????,???????? ?????? -2017,Address181,?????,????????? ?????????,????,????????? ?????????,,-------------------,??? ?????
???? ?????? ???? ????,???,???????,171019,Karim.elamirfci2017@suezuni.edu.eg,98765432136310,Dr.Hussein Mohammed Sharaf,????,24-Aug-98,1111170,??????,??????,????,???????? ?????? -2017,Address182,?????,???? ??????,????,???? ??????,,-------------------,??? ?????
????? ???? ???? ????,????,???????,171020,Omnia.Ashraffci2017@suezuni.edu.eg,98765432136311,Dr.Hussein Mohammed Sharaf,????,25-Aug-98,1111171,??????,??????,????,???????? ?????? -2017,Address183,?????,????????_???,????,,,-------------------,??? ?????
???? ???? ??? ???? ?????,???,???????,171022,Mohammed.Khaledfci2017@suezuni.edu.eg,98765432136312,Dr. Fayza Ahmed Elsayed,????,26-Aug-98,1111172,??????,??????,????,???????? ?????? -2017,Address184,?????,????????? ?????????,????,????????? ?????????,,-------------------,??? ?????
????? ????? ?????,???,???????,171023,Mahmoud.Mustafafci2017@suezuni.edu.eg,98765432136313,Dr. Fayza Ahmed Elsayed,????,27-Aug-98,1111173,??????,??????,????,???????? ?????? -2017,Address185,?????,????????? ?????????,????,????????? ?????????,,-------------------,??? ?????
??? ???? ???? ???????,???,???????,171025,Omar.Mohamedfci2017@suezuni.edu.eg,98765432136314,Dr. Fayza Ahmed Elsayed,????,28-Aug-98,1111174,??????,??????,????,???????? ?????? -2017,Address186,?????,???? ??????,????,???? ??????,,-------------------,??? ?????
??? ??? ???? ??????,????,???????,171026,Nada.Nasrfci2017@suezuni.edu.eg,98765432136315,Dr. Samah Ahmed Zaki,????,29-Aug-98,1111175,??????,??????,????,???????? ?????? 2017,Address187,?????,????????_???,????,????????_???,,-------------------,??? ?????
????? ???? ????? ????????? ????,????,???????,171028,Eman.emadeldinfci2017@suezuni.edu.eg,98765432136316,Dr. Samah Ahmed Zaki,????,30-Aug-98,1111176,??????,??????,????,???????? ?????? 2017,Address188,?????,????????? ?????????,????,????????? ?????????,,-------------------,??? ?????
????? ????? ????? ?????,????,???????,171029,Tasneem.barbarifci2017@suezuni.edu.eg,98765432136317,Dr. Samah Ahmed Zaki,????,31-Aug-98,1111177,??????,??????,????,???????? ?????? 2017,Address189,?????,???? ??????,????,???? ??????,,-------------------,??? ?????
???? ???? ???? ????,???,???????,171081,Mohamed.Mohsenfci2017@suezuni.edu.eg,98765432136318,Dr. Samah Ahmed Zaki,????,01-Sep-98,1111178,????? ??????,????? ??????,????,???????? ?????? 2017,Address190,?????,????????_???,????,,,-------------------,??? ?????
???? ???? ???? ???? ?????,????,???????,171032,Maryam.Sabrifci2017@suezuni.edu.eg,98765432136319,Dr.Haitham Farook Abd Elfattah,????,02-Sep-98,1111179,?????,?????,????,???????? ?????? 2017,Address191,?????,???? ??????,????,???? ??????,,-------------------,??? ?????
???? ??????? ??????? ??????? ?????,???,???????,171033,Sameh.Metwallyfci2017@suezuni.edu.eg,98765432136320,Dr.Haitham Farook Abd Elfattah,????,03-Sep-98,1111180,?????,?????,????,???????? ?????? 2017,Address192,?????,????????_???,????,,,-------------------,??? ?????
?????? ???? ????? ???????,???,???????,171035,Soliman.Mohammedfci2017@suezuni.edu.eg,98765432136321,Dr.Haitham Farook Abd Elfattah,????,04-Sep-98,1111181,??????,??????,????,???????? ?????? 2017,Address193,?????,????????? ?????????,????,????????? ?????????,,-------------------,??? ?????
???? ???? ????? ????,???,???????,171037,Ahmed.Mohamedfci2017@suezuni.edu.eg,98765432136322,Dr.Haitham Farook Abd Elfattah,????,05-Sep-98,1111182,???????,???????,????,???????? ?????? -2017,Address194,?????,????????_???,????,,,-------------------,??? ?????
?????? ???? ???? ?????,????,???????,171038,Norhan.Rashadfci2017@suezuni.edu.eg,98765432136323,Dr.Haitham Farook Abd Elfattah,????,06-Sep-98,1111183,????,???????,????,???????? ?????? (????? ??????)2017,Address195,?????,????????_???,????,????????_???,,-------------------,??? ?????
????? ??? ???? ?????,????,???????,181001,Ahlam.RMEl@fci.suezuni.edu.eg,98765432136324,Dr.Yasser Fouaad Ramadan,????,07-Sep-98,1111184,??????,??????,????,???????? ?????? 2018,Address196,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ???? ????? ????,???,???????,181002,Ahmed.ASD@fci.suezuni.edu.eg,98765432136325,Dr.Yasser Fouaad Ramadan,????,08-Sep-98,1111185,??????,??????,????,???????? ?????? 2018,Address197,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ???? ???? ????,???,???????,181003,181003@suezuni.edu.eg,98765432136326,Dr. Samah Ahmed Zaki,????,09-Sep-98,1111186,??????,??????,????,???????? ?????? 2018,Address198,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ??? ????? ???? ???????,???,???????,181004,181004@suezuni.edu.eg,98765432136327,Dr.Yasser Fouaad Ramadan,????,10-Sep-98,1111187,??????,??????,????,???????? ?????? 2018,Address199,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ???? ???? ???????,???,???????,181005,Ahmed.MAEl@fci.suezuni.edu.eg,98765432136328,Dr.Wael Mohammed Fawaz,????,11-Sep-98,1111188,????? ??????,???????,????,???????? ?????? 2017,Address200,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ????? ???? ????,???,???????,181006,Ahmed.MAYa@fci.suezuni.edu.eg,98765432136329,Dr.Yasser Fouaad Ramadan,????,12-Sep-98,1111189,??????,??????,????,???????? ?????? 2018,Address201,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ???? ??? ?????,????,???????,181007,Basma.AAAh@fci.suezuni.edu.eg,98765432136330,Dr.Yasser Fouaad Ramadan,????,13-Sep-98,1111190,??????,??????,????,???????? ?????? 2018,Address202,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ??? ???? ??? ???,???,???????,181008,Hussein.KHHa@fci.suezuni.edu.eg,98765432136331,Dr.Yasser Fouaad Ramadan,????,14-Sep-98,1111191,??????,??????,????,???????? ?????? 2018,Address203,?????,????????_???,????,????????_???,,-------------------,??? ?????
????? ?????? ??? ????,????,???????,181009,Rowida.ARDa@fci.suezuni.edu.eg,98765432136332,Dr. Fayza Ahmed Elsayed,????,15-Sep-98,1111192,??????,??????,????,???????? ?????? 2018,Address204,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ???? ???? ???? ????,????,???????,181010,Sara.YMRe@fci.suezuni.edu.eg,98765432136333,Dr. Fayza Ahmed Elsayed,????,16-Sep-98,1111193,??????,??????,????,???????? ?????? 2018,Address205,?????,????????_???,????,????????_???,,-------------------,??? ?????
????? ??? ????? ????????? ????,????,???????,181011,Shimaa.AAMo@fci.suezuni.edu.eg,98765432136334,Dr. Fayza Ahmed Elsayed,????,17-Sep-98,1111194,??????,??????,????,???????? ?????? 2018,Address206,?????,????????_???,????,????????_???,,-------------------,??? ?????
??? ?????? ???? ???? ?????,???,???????,181012,181012@suezuni.edu.eg,98765432136335,Dr. Fayza Ahmed Elsayed,????,18-Sep-98,1111195,????,??????,????,???????? ?????? 2018,Address207,?????,????????_???,????,????????_???,,-------------------,??? ?????
??? ?????? ????? ???? ???,???,???????,181013,Abdelrahman.AMM@fci.suezuni.edu.eg,98765432136336,Dr. Fayza Ahmed Elsayed,????,19-Sep-98,1111196,??????,??????,????,???????? ?????? 2018,Address208,?????,????????_???,????,????????_???,,-------------------,??? ?????
??? ???? ???? ????? ?????,???,???????,181014,Abdallah.AEHa@fci.suezuni.edu.eg,98765432136337,Dr.Wael Mohammed Fawaz,????,20-Sep-98,1111197,??????,??????,????,???????? ?????? 2018,Address209,?????,????????_???,????,????????_???,,-------------------,??? ?????
??????? ???? ???? ??? ??????,???,???????,181015,181015@suezuni.edu.eg,98765432136338,Dr.Wael Mohammed Fawaz,????,21-Sep-98,1111198,??????,??????,????,???????? ?????? 2018,Address210,?????,????????_???,????,????????_???,,-------------------,??? ?????
??? ????? ???? ????,???,???????,181016,Omar.MAMo@fci.suezuni.edu.eg,98765432136339,Dr.Wael Mohammed Fawaz,????,22-Sep-98,1111199,??????,??????,????,???????? ?????? 2018,Address211,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ??? ????? ?????,???,???????,181017,Amr.SMfr@fci.suezuni.edu.eg,98765432136340,Dr.Wael Mohammed Fawaz,????,23-Sep-98,1111200,??????,??????,????,???????? ?????? 2018,Address212,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ???? ??? ??? ?????,???,???????,181018,Amr.AMA@fci.suezuni.edu.eg,98765432136341,Dr.Wael Mohammed Fawaz,????,24-Sep-98,1111201,??????,??????,????,???????? ?????? 2018,Address213,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ???? ???? ????,???,??????,181019,181019@suezuni.edu.eg,98765432136342,Dr.Hussein Mohammed Sharaf,????,25-Sep-98,1111202,??????,??????,????,???????? ?????? 2018,Address214,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ???? ??? ???,???,???????,181020,Fady.NRGa@fci.suezuni.edu.eg,98765432136343,Dr.Hussein Mohammed Sharaf,????,26-Sep-98,1111203,??????,??????,?????,???????? ?????? 2018,Address215,?????,????????_???,????,????????_???,,-------------------,??? ?????
????? ??????? ???? ????? ????,????,???????,181021,fatmaalzahraa.ghmo@fci.suezuni.edu.eg,98765432136344,Dr.Hussein Mohammed Sharaf,????,27-Sep-98,1111204,??????,??????,????,???????? ?????? 2018,Address216,?????,????????_???,????,????????_???,,-------------------,??? ?????
????? ??? ???? ?????,????,???????,181022,Fatma.RMEl@fci.suezuni.edu.eg,98765432136345,Dr.Hussein Mohammed Sharaf,????,28-Sep-98,1111205,??????,??????,????,???????? ?????? 2018,Address217,?????,????????_???,????,????????_???,,-------------------,??? ?????
????? ??? ???? ????,????,???????,181023,Fatma.EMMo@fci.suezuni.edu.eg,98765432136346,Dr.Hussein Mohammed Sharaf,????,29-Sep-98,1111206,??????,??????,????,???????? ?????? 2018,Address218,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ????? ??? ?????? ??? ??????,???,???????,181024,Kareem.HAAb@fci.suezuni.edu.eg,98765432136347,Dr. Mohamed  Ali Atia,????,30-Sep-98,1111207,????? ??????,????? ??????,????,???????? ?????? 2018,Address219,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ???? ???? ????,????,???????,181025,Kawther.KAS@fci.suezuni.edu.eg,98765432136348,Dr. Mohamed  Ali Atia,????,01-Oct-98,1111208,??????,??????,????,???????? ?????? 2018,Address220,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ??? ?????? ?????? ???,???,???????,181026,Mohamed.AIOm@fci.suezuni.edu.eg,98765432136349,Dr. Mohamed  Ali Atia,????,02-Oct-98,1111209,??????,??????,????,???????? ?????? 2018,Address221,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ??? ???? ??? ???????,???,???????,181027,Mohamed.ASAb@fci.suezuni.edu.eg,98765432136350,Dr. Mohamed  Ali Atia,????,03-Oct-98,1111210,??????,??????,????,???????? ??????,Address222,?????,????????_???,????,????????_???,,-------------------,??? ?????
????? ????? ???? ????,???,???????,181029,Mahmoud.RMHa@fci.suezuni.edu.eg,98765432136351,Dr. Samah Ahmed Zaki,????,04-Oct-98,1111211,???? ?????,????????,????,???????? ?????? 2018,Address223,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ??? ??? ????? ??? ?????,????,???????,181081,Maram.KAAb@fci.suezuni.edu.eg,98765432136352,Dr. Samah Ahmed Zaki,????,05-Oct-98,1111212,??????,??????,????,???????? ?????? 2018,Address224,?????,????????_???,????,????????_???,,-------------------,??? ?????
???? ???? ??? ????,????,???????,181031,181031@suezuni.edu.eg,98765432136353,Dr. Samah Ahmed Zaki,????,06-Oct-98,1111213,??????,??????,????,???????? ?????? 2018,Address225,?????,????????_???,????,????????_???,,-------------------,??? ?????
